Title,Year,Alternative_Titles,Director,Lead_Actor,Co_Stars,Music,Synopsis_and_Notes
Night of the Serpent,1969,Notte del Serpente,Giulio Petroni,Luke Askew,"Luigi Pistilli, Magda Konopka, Chelo Alonso, William Bogart, Franco Balducci, Giancarlo Badessi",Ennio Morricone,"An intense, claustrophobic drama directed by Giulio Petroni. A vicious bandit known as The Serpent (Luigi Pistilli) and his gang become trapped inside a frontier saloon following an attempted bank robbery, holding the patrons hostage while a lone gunfighter (Luke Askew) waits for the right moment to strike."
No Graves on Boot Hill,1968,Three Crosses of Death; Tre Croci per non Morire,Sergio Garrone (as Willy S. Regan),Craig Hill,"Ken Wood (Giovanni Cianfriglia), Evelyn Stewart (Ida Galli), Peter White, Jean Louis",Vasco and Mancuso,"A Dirty Dozen-inspired western where a frontier priest (Peter White) recruits three convicted criminals—a womanizer (Craig Hill), a petty thief, and a mercenary—to help him clear an innocent boy sentenced to the gallows by uncovering the true murderer."
No Room to Die,1969,A Hanging for Django; Noose for Django; Una Lunga Fila di Croci,Sergio Garrone (as Willy S. Regan),Anthony Steffen,"William Berger, Mario Brega, Riccardo Garrone, Nicoletta Machiavelli, Maria Angela Giordano",Vasco and Mancuso,Anthony Steffen plays the stoic bounty hunter Brandon (Django in international prints) who forms an uneasy partnership with a Bible-quoting preacher (William Berger) to dismantle an illegal human-trafficking ring smuggling Mexican laborers into slave labor on local ranches.
None of the Three Were Called Trinity,1974,Ninguno de los Tres se Llamaba Trinidad,Ignacio Iquino (as Pedro L. Ramirez),Danny Martin,"Fanny Grey, Margit Kocsis, Cris Huerta, Ricardo Palacios, Tito Garcia, Gustavo Re",Enrique Escobar,A satirical comedy poking fun at the endless Trinity imitators. A young traveler named Jim (Danny Martin) is mistakenly arrested as a bank robber and must convince a dimwitted sheriff (Cris Huerta) of his innocence so he can pursue his dishonest cousins who stole his inheritance.
Nude Django,1968,Django Nudo und die lusternen Mädchen von Porno Hill,Ron Elliot,Peter Graf,"Donna West, Steve Allen, Edgar Wertz, Lynn Hall",Peter Graf / Walter Baumgartner,An obscure German-produced softcore sex-western curiosity. Peter Graf plays an eccentric wanderer calling himself Django who lures a frontier dance-hall entertainer to his isolated cabin with promises of sharing a rich gold mine claim.
On the Third Day Arrived the Crow,1972,Arrival Il Crow,Gianni Crea,Lincoln Tate,"William Berger, Dean Stratford, Fiorella Mannoia, Lorenzo Fineschi, Richard Melvill, Lars Block",Nora Orlandi,"A family of frontier troubleshooters—Sally and her brothers Link and Tornado—investigate the mysterious disappearance of a gold shipment from a local mining company. They discover the robbery was staged by the mine owner himself, who hires a lethal assassin known as The Crow (William Berger) to silence them. When Tornado is slain, Link mounts a retaliatory strike, leading to an unexpected showdown with The Crow's vengeful brother."
Once Upon a Time in the West,1968,C'era una Volta il West; Play Me the Song of Death,Sergio Leone,Charles Bronson,"Henry Fonda, Claudia Cardinale, Jason Robards, Frank Wolff, Gabriele Ferzetti, Woody Strode, Jack Elam",Ennio Morricone,"Sergio Leone's operatic masterpiece chronicling the inevitable decline of the Old West with the advance of the transcontinental railroad. A mysterious, harmonica-playing avenger (Charles Bronson) and a charismatic outlaw named Cheyenne (Jason Robards) protect a resilient widow (Claudia Cardinale) whose family was slaughtered by Frank (Henry Fonda in a chilling against-type villainous turn), a cold-blooded assassin executing land grabs for a crippled railroad tycoon."
"Once Upon a Time in the Wild, Wild West",1969,C'era una Volta questo Pazzo Pazzo West,Demofilo Fidani (as Enzo Matassi),Gordon Mitchell,"Vincent Scott, Dennis Colt, Malisa Longo, Lucky McMurray, Fiorella Magaloti, Dada Gallotti",Francesco Santucci,"A slapstick farce following two squabbling brothers who leave their impoverished farm to seek their fortunes in Carson City with their cousin Bill (Gordon Mitchell). Upon arrival, they discover the settlement embroiled in a violent feud between Bill and a local bully named Blackie, with the brothers stumbling through juvenile brawls and frontier scrapes."
One After Another,1968,Uno dopo l'Altro; Day After Tomorrow,Nick Nostro (as Nick Howard),Richard Harrison,"Pamela Tudor, Paul Stevens, José Bodalo, Jolanda Modio, José Jaspe, José Manuel Martin",Fred Bongusto,"When a frontier bank is plundered and its employees massacred, an unassuming stranger named Sam (Richard Harrison) arrives in town to avenge his murdered companion. Tricked by the crooked bank president into targeting a notorious Mexican bandit leader (José Bodalo), Sam eventually uncovers the deception and teams up with the outlaw to bring down the true conspirators."
One Against One... No Mercy,1968,One by One; Ad Uno ad Uno... Spietatamente,Rafael Romero Marchent,Peter Lee Lawrence,"William Bogart, Dianik Zurakowska, Eduardo Fajardo, Alfonso Rojas, Aurora Battista, Paco Sanz",Vasco and Mancuso,"Peter Lee Lawrence plays Chico, a quick-draw marksman betrayed by his conniving partner Grayson (William Bogart) during a high-stakes scheme. When Grayson attempts to frame a regional town boss by extorting a confession under duress, Chico unravels the layers of treachery and tracks down his former associate for an icy final duel."
One Damned Day at Dawn... Django Meets Sartana,1971,Quel Maledetto Giorno d'Inverno Django e Sartana... all'Ultimo Sangue,Demofilo Fidani (as Miles Deem),Hunt Powers,"Fabio Testi, Dean Stratford, Dennis Colt, Lucky McMurray, Simone Blondell",Coriolano Gori,"In the lawless outpost of Black City, a tyrannical town boss and his Mexican bandit allies operate a lucrative gun-running syndicate. Newly appointed sheriff Jack Ronson (Fabio Testi) arrives to establish order and finds an unexpected ally in a mysterious, watching bounty hunter named Django (Hunt Powers), culminating in an early morning street showdown."
One Hundred Thousand Dollars for Ringo,1966,100.000 Dollari per Ringo,Alberto De Martino,Richard Harrison,"Fernando Sancho, Luis Induñi, Gerard Tichy, Eleonora Bianchi, Lee Burton, Monica Randall",Bruno Nicolai,"A Texas Ranger named Ringo (Richard Harrison) arrives incognito in a turbulent border settlement divided by two warring factions fighting over buried Confederate treasure. Maintaining order through precision shooting, Ringo plays both sides against each other to break the syndicate's stranglehold on the community."
Outlaw of Red River,1966,Django the Honorable Killer; Django the Condemned; El Proscrito del Río Colorado,Maury Dexter,George Montgomery,"Elisa Montes, José Nieto, Miguel Del Castillo, Jesus Tordesillas, Raf Baldassare, Anna Custodio",Manuel Parada,"A former frontier lawman (George Montgomery) falsely accused of murder flees across the border into Mexico, becoming the chief lieutenant for a powerful regional general. Complications quickly escalate as he navigates the general's manipulative lover, an ambitious rival, and raiding bandits seeking to destabilize the territory."
Paid in Blood,1972,Quelle Sporche Anime Dannate,Luigi Batzella (as Paolo Solvay),Jeff Cameron,"Donald O'Brien, Alfredo Rizzo, Krista Nell, Edilio Kim, William Mayor",Elio Mancuso,"Bounty hunter Tom Carter (Jeff Cameron) rides into Rio Canyon seeking retribution for the robbery and murder of his brother. Suspecting a saloon entertainer, he soon realizes she is innocent and joins forces with her to expose a ruthless gang of cattle thieves and land swindlers commanded by a vicious town boss (Donald O'Brien)."
Pancho Villa,1972,Challenge of Pancho Villa; El Desafio de Pancho Villa,Eugenio Martin,Telly Savalas,"Clint Walker, Chuck Connors, Anne Francis, Angel Del Pozo, José Maria Prada, Luis Dávila",Anton Garcia Abril,"Telly Savalas stars as the larger-than-life Mexican revolutionary general Pancho Villa. After being betrayed in a fraudulent weapons transaction with American arms suppliers, Villa rallies his insurgent army, crosses the border, and launches a daring assault on a U.S. military outpost, culminating in a spectacular collision between two locomotives."
Paths of War,1969,Sul Sentiero di Guerra,Giovanni Grimaldi,Franco Franchi,"Ciccio Ingrassia, Bruno Scipioni, Dick Palmer, Spartaco Conversi",Roberto Pregadio,"A broad Civil War slapstick parody loosely spoofing The Red Badge of Courage. Lowbrow comedians Franco and Ciccio play two hopelessly cowardly Confederate army cooks who become separated from their unit and bumble their way through enemy lines, hostile outlaws, and native war parties."
"Patience Has a Limit, We Don't",1974,La Pazienza Ha un Limite... Noi No,Armando De Ossorio (as Armando Morandi),Peter Martell,"Sal Borgese, Rita Di Lernia, Pepe Ruiz, Ray Nolan, Peter Jacob, Carla Mancini",Leonerbert,"Cult horror filmmaker Armando De Ossorio directs this frontier comedy about a veteran cavalry lieutenant who has been denied promotion for twenty years due to a missing $20,000 gold payroll. The plot descends into farce when the original bandit's two illiterate sons locate the treasure map and wander aimlessly across the frontier."
Payment in Blood,1968,Winchester for Hire; Blake's Marauders; Sette Winchester per un Massacro,Enzo G. Castellari (as E. G. Rowland),Edd Byrnes,"Guy Madison, Enio Girolami, Louise Barrett, Rick Boyd, Rosella Bergamonti, Pedro Sanchez",Francesco De Masi,"A rogue Confederate colonel (Guy Madison) refuses to surrender after the Civil War, leading a ruthless gang of marauders pillaging the countryside while searching for a hidden Confederate treasury. An undercover government operative (Edd Byrnes) infiltrates the outfit to locate the treasure and neutralize the renegades."
Pecos Cleans Up,1967,Pecos È Qui: Prega e Muori,Maurizio Lucidi,Robert Woods,"Luciana Gilli, Erno Crisa, Pedro Sanchez, Umberto Raho, Piero Vida, Carlo Gaddi",Lallo Gori,"A lighter, adventure-oriented sequel to My Name Is Pecos. Robert Woods returns as Pecos, who embarks on a treasure-hunting expedition into the Mexican wilderness to locate lost Aztec ruins and hidden gold, contending with rival mercenaries, booby-trapped temples, and opportunistic local bandits."
"Piluk, the Timid One",1968,Gun Shy Piluk; Piluk il Timido; Giurò... E li Uccise ad Uno ad Uno,Guido Celano,Edmund Purdom,"Peter Holden, Dan Harrison, Micaela Pignatelli, Luis Barboo, Livio Lorenzon",Carlo Savina,"A unique revenge western featuring an elderly protagonist. When his only son, the respected sheriff of Boise, is murdered by the ruthless Mason gang, an unassuming old frontiersman named Piluk (Edmund Purdom) discards his peaceful ways and sets out on a methodical, calculated mission of vengeance."
Pirates of the Mississippi,1963,River Pirates of the Mississippi; Agguato sul Grande Fiume; Die Flusspiraten vom Mississippi,Jürgen Roland,Brad Harris,"Horst Frank, Sabine Sinjen, Hansjörg Felmy, Dorothea Parker, Tony Kendall, Dan Vadis",Willy Mattes,An early German-Italian-French co-production revolving around a gang of river pirates who hijack a mail boat carrying a Cherokee land grant and take over a frontier trading town. Pioneers and local native tribes set aside their mutual distrust to join forces under an American frontiersman (Brad Harris) to liberate the river valley.
Pistol for a Hundred Coffins,1968,Una Pistola per Cento Bare,Umberto Lenzi,Peter Lee Lawrence,"John Ireland, Gloria Osuna, Eduardo Fajardo, Victor Israel, Julio Peña, Raf Baldassare",Angelo Francesco Lavagnino,"Wrongfully convicted and imprisoned for a crime he didn't commit, a young gunfighter known as The Kid (Peter Lee Lawrence) is released and attempts to track down the true culprit. His quest takes a bizarre and violent turn when a gang of axe-wielding asylum escapees led by Eduardo Fajardo takes a nearby town hostage."
Pistol for Ringo,1965,Una Pistola per Ringo,Duccio Tessari,Giuliano Gemma (as Montgomery Wood),"Fernando Sancho, Nieves Navarro, George Martin, José Manuel Martin, Hally Hammond, Antonio Casas",Ennio Morricone,"A genre-defining hit from Duccio Tessari. Following a violent bank raid, wounded Mexican bandit Sancho (Fernando Sancho) and his gang seize a wealthy hacienda, taking hostages. The local authorities enlist imprisoned gunslinger Ringo (Giuliano Gemma), an agile angel-faced marksman with a love for milk and money, to infiltrate the stronghold and orchestrate a rescue."
Pistol Packin' Preacher,1972,Posate le Pistole Reverendo; Déposez les Colts,Leopoldo Savona,Mark Damon,"Veronica Korocia, Floranna Di Bernardo, Richard Melville, Pietro Ceccarelli, Carla Mancini",Coriolano Gori,"A con-artist family traveling west stages an elaborate 'faith healing' miracle with an undercover Confederate deserter named Slim (Mark Damon). When the grateful town boss appoints the patriarch as the town's official minister, Slim orchestrates a series of fraudulent miracles and a staged resurrection to swindle the syndicate's wealth."
Place Called Glory,1965,Place Called Glory City; Die Hölle von Manitoba,Sheldon Reynolds (as Ralph Gideon),Lex Barker,"Pierre Brice, Gerard Tichy, Angel Del Pozo, Marianne Koch, Jorge Rigaud, Aldo Sambrell",Angel Arteaga,"Pairing German cinema legends Lex Barker and Pierre Brice in an American-style western, the story follows a veteran bounty hunter and a dapper New Orleans gunslinger who meet on the plains and form a close friendship. Arriving in Glory City, their bond is tested when competing loyalties and a love triangle force them toward a high-noon showdown."
Poker with Pistols,1967,Un Poker di Pistole,Giuseppe Vari (as Joseph Warren),George Hilton,"George Eastman, Annabella Incontrera, Dick Palmer, José Torres",Lallo Gori,"A bankrupt gambler named Lucas (George Eastman) incurs a massive debt during a poker game with seasoned player Ponson (George Hilton). In exchange for forgiving the loss, Ponson recruits Lucas to spy on a wealthy regional rancher suspected of running a large-scale counterfeit currency operation."
